,Unnamed: 0,Source Port,Destination Port,Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Inbound
Unnamed: 0,1.0,0.2339968649307877,0.040280013364065455,-0.33868235191791735,0.34705615686434693,-0.04413245250827366,-0.014205809218860162,-0.2076912664982866,-0.00833969252282165,-0.37752435977855064,-0.356628273839935,-0.370293762112276,-0.06645524750474813,-0.03861652546377045,-0.018425686478103526,-0.04895104546631923,-0.051744724800985395,-0.25259745806702916,0.035439910326018426,0.33797894446823046,0.30448498591724776,0.2815497004467641,-0.006872449821420692,0.3477717960629247,0.3308375781809344,0.28835402098103846,0.2831849050790511,-0.006620513086828609,0.04290641729335183,0.11518301234289478,0.10819579717887542,0.08721998528759693,0.032798797408832674,-0.05479793296911463,,,,0.039977263693702976,0.00497760577519406,0.019762447658645498,4.600929200718364e-05,-0.3565148296763493,-0.3351904301153635,-0.3735213869103432,-0.061328581520216155,-0.01575543401942442,,-0.009923365051099326,-0.05479793296911463,,0.4378795245425862,-0.10969584532798027,-0.07781275717820585,,-0.041443533840457035,-0.3525216487065912,-0.370293762112276,-0.048951045466319246,0.039977263693702976,,,,,,,-0.04413245250827366,-0.2076912664982866,-0.014205809218860162,-0.00833969252282165,0.07952457473241634,-0.03432619179930083,-0.18862998342276383,0.055796921673261377,0.003539833499678873,0.027231563783107714,0.0217247984127417,-0.0037013784741872246,0.23659863161585123,0.31580737447806645,0.2917250345603946,0.16580257609665347,0.10039040240637663
Source Port,0.2339968649307877,1.0,-0.12495116710271134,-0.29120116017127645,0.11389954888972967,-0.06042461874060892,0.05849779038727192,-0.27565538965203673,0.015369433591022897,-0.5049557585580746,-0.5200594919993758,-0.5288508753539872,0.12300249914744328,0.09460022610482419,0.19752176174985064,0.14638401920873448,0.11282331165914745,-0.3826555397519342,-0.07595648482784875,0.10230377032865297,0.11942324636043158,0.12356045415740699,-0.011635153364615363,0.11240872564993551,0.10839072183105825,0.12067763184734297,0.12079253939093192,-0.01224946940152313,0.09125695895351811,0.05555696266387681,0.06198354793531745,0.07644954840910974,0.08728858153770096,0.1001906973852517,,,,0.05392109343743375,-0.02872316049464719,-0.08390795157081539,-0.0022603008683228475,-0.5200095896415268,-0.39031115727980176,-0.5239412892829802,0.13313507450977347,0.03016022130845832,,0.009096077315710145,0.1001906973852517,,0.291719872190317,0.07802197767826473,-0.004472946218881761,,0.17008585289051156,-0.506895378985008,-0.5288508753539872,0.1463840192087345,0.05392109343743375,,,,,,,-0.06042461874060892,-0.27565538965203673,0.05849779038727192,0.015369433591022897,0.20486676800291245,0.0695917483957754,-0.24165584846535723,0.06910564338072704,0.028484372092782918,0.016585721435743123,0.025747893356428526,0.025647803478964542,0.11912436446804797,0.0760985298077,0.11623056370130687,0.11370013486581675,-0.281560770599053
Destination Port,0.040280013364065455,-0.12495116710271134,1.0,0.09901010269234091,-0.03378860817486596,-6.749377256191297e-05,-0.07190248773779624,0.03309524212367645,-0.020576582172807646,0.08268631706404343,0.10923593582468366,0.10655809785247206,-0.12085504696302284,-0.11858900168288249,-0.2247642169855857,-0.18041431235620312,-0.14517884505204437,0.08358360593082173,0.11924427921426478,-0.012628816224453167,-0.03808336826498811,-0.0567145781529792,-0.0017943327368103792,-0.03174858818423039,-0.021813581519965274,-0.044474736512222265,-0.05267543769982137,-0.0010135801945712957,-0.08731987946596059,-0.029049306739910793,-0.03822016510928271,-0.05969142527604561,-0.07588853527136774,-0.11286103707291027,,,,-0.003965573030901135,0.03363174171717119,0.11415168522156408,0.00820891680551357,0.10921304914961123,0.02360194396222391,0.09858124042674674,-0.1504465104498146,-0.03892824289879669,,-0.01312698615399154,-0.11286103707291027,,-0.02728416546661744,-0.10690254906872854,-0.02329329120627576,,-0.19247018393596185,0.09803044737941409,0.10655809785247206,-0.18041431235620312,-0.003965573030901135,,,,,,,-6.749377256191297e-05,0.03309524212367645,-0.07190248773779624,-0.020576582172807646,-0.16247253356644717,-0.08285776591529453,0.024439609131533216,-0.013294680299259494,-0.049600557171573155,-0.020035786293584275,-0.0383253374049939,-0.04587330956830841,-0.06188038096345173,-0.0018763470927697326,-0.04520006154730791,-0.07360579369028314,0.37630170174297195
Protocol,-0.33868235191791735,-0.29120116017127645,0.09901010269234091,1.0,-0.36797099518430515,0.021006801181006274,-0.0930501760585122,0.1826532964535432,-0.024033008954252682,0.5359122880918908,0.5572650127415606,0.5642153342658919,-0.12073293332943172,-0.12413499044568306,0.06729048603121894,-0.12984822219679806,-0.17262861372260954,0.40571250629046973,0.13576987503805538,-0.36865003444788985,-0.38709286493177086,-0.36861660643910565,-0.014911694543941586,-0.36533979119595045,-0.37538980790605153,-0.3811121302112845,-0.36411925875276285,-0.014274463843222628,-0.1722380874064843,-0.14515533536915348,-0.1520963859759303,-0.16434759425848652,-0.11731606747544449,-0.18232759242407265,,,,-0.03450886079552116,-0.012416084474555208,0.16279418763999706,-0.075287111563614,0.557539205156392,0.40468542222768444,0.5582360275847688,-0.1404592060541078,-0.04696830794820456,,-0.04328212130518167,-0.18232759242407265,,-0.8504529458842615,-0.38863659128847844,-0.281978161093346,,-0.28285060667433276,0.5364463635359468,0.5642153342658919,-0.12984822219679804,-0.03450886079552116,,,,,,,0.021006801181006274,0.1826532964535432,-0.0930501760585122,-0.024033008954252682,-0.47992719524875527,-0.159934135102099,0.15424367609331563,-0.10011875485889282,-0.05928736031232001,-0.05773272098320307,-0.07036120746562126,-0.04508600484594146,-0.3503602715592868,-0.2728076072235331,-0.3586360576021122,-0.31670828766797493,0.24520264644512738
Flow Duration,0.34705615686434693,0.11389954888972967,-0.03378860817486596,-0.36797099518430515,1.0,0.019546571647044025,0.09617598907819963,-0.06247448425384645,0.02018034949016845,-0.18467304264567405,-0.20671399441814747,-0.2084643333698136,0.08042631943646554,0.0907973291898429,-0.02745602735799554,0.066238126054272,0.09814318984375271,-0.1550895650741493,-0.23825999919401555,0.8889907262348377,0.8826916639593521,0.8879890653526336,0.016458372966418396,0.9994297508876178,0.9032326462425776,0.8706660370977554,0.8885596896234759,0.016534753080549674,0.4439068597147799,0.37658299674979673,0.3968249047651667,0.42474199838263355,0.08824271567745598,0.019426753344084488,,,,0.012079385883194875,0.004596873717585326,-0.22705685072349732,-0.008822233415483218,-0.20668303208362257,-0.12167198882176535,-0.20538584779150185,0.08597780854600899,0.02759570615879097,,-0.004737926870447486,0.019426753344084488,,0.39477854859119466,-0.009709076230125983,-0.031393570528753974,,-0.020076665746166605,-0.19828850916848534,-0.2084643333698136,0.066238126054272,0.012079385883194875,,,,,,,0.019546571647044025,-0.06247448425384645,0.09617598907819963,0.02018034949016845,0.1930841607144914,0.014523426792917363,-0.04880370478814693,0.03648246371414155,0.09374521759386144,0.16294898591880047,0.15475942855618435,0.04367848049052224,0.8199874594756141,0.779963979740848,0.8929142988184845,0.6881347628266491,-0.052205421475657765
Total Fwd Packets,-0.04413245250827366,-0.06042461874060892,-6.749377256191297e-05,0.021006801181006274,0.019546571647044025,1.0,0.12017742221320651,0.24952350760825917,0.020134652585967753,-0.02458204085701333,-0.03147956086596079,-0.026258910221258567,0.01051015438077577,0.01654048925825719,-0.011497100930174683,0.011851780146213759,0.01437914300873824,-0.056989047489323215,-0.08668364732615676,-0.00278683840260361,-0.001927402606550489,0.005741007949346639,-0.0009689419027248512,0.019638239580023545,-0.002408104368933238,-0.0012519545649197234,0.005940267866154272,-0.0009379532214762287,0.04846172861494647,0.00121153469555771,0.0025850842955301425,0.008446839110337463,-0.006324689198107332,-0.006161458925673799,,,,-0.057885361281728824,0.001726251543768857,-0.08254289080268234,-0.003441826347660392,-0.031466567976813443,-0.012341065491211866,-0.025086707271649255,0.017116051339539657,0.016756975493588223,,-0.0017874033192207739,-0.006161458925673799,,-0.025175542603231654,-0.016106607734973837,-0.013077545271201316,,-0.01591265641874195,-0.0397259465145884,-0.026258910221258567,0.011851780146213766,-0.057885361281728824,,,,,,,1.0,0.24952350760825917,0.12017742221320651,0.020134652585967753,-0.008066232116266168,-0.005498498240180733,0.25064244723337376,-0.011608243559426072,0.26117316356232495,0.6898278723958583,0.6013419310804247,0.06942397478925005,0.007137407188181104,4.070863568574518e-06,0.00533682687696528,0.008414449059938395,0.014428050424971627
Total Backward Packets,-0.014205809218860162,0.05849779038727192,-0.07190248773779624,-0.0930501760585122,0.09617598907819963,0.12017742221320651,1.0,-0.005667205487006796,0.9168812584293372,-0.0016142634007529257,-0.05815535058841782,-0.05214602447186257,0.19143007980959803,0.7907987202096962,0.019308883739661196,0.6095757325219273,0.6340433344146185,-0.04364357974480284,-0.06680206365663523,0.019229124177869893,0.051262993548322665,0.13846389274171694,-0.0007326263439007683,0.09504562541338217,0.03148388883935633,0.06603799127371052,0.13723559673733962,-0.0007265044303363056,0.20221084167418327,0.04616960247626276,0.06705441899694095,0.13833734549497695,0.02168463719153307,0.017566622918202095,,,,0.003603869710708305,-0.002204732915154138,-0.06380029394465153,0.004139123725613413,-0.0581956422339022,0.4293829404220921,0.004512307084219963,0.6700427789930354,0.8389090650362666,,0.0008976089328362304,0.017566622918202095,,0.08577175044346916,0.02697857043079592,0.014974959239413122,,0.15349788125140326,-0.014561321086953774,-0.05214602447186257,0.6095757325219271,0.003603869710708305,,,,,,,0.12017742221320651,-0.005667205487006796,1.0,0.9168812584293372,0.2042837530243741,0.03647809330060896,0.0012857201158659915,0.010068801764546378,0.0894912722901731,0.1289707614530506,0.1251301231537883,0.04889571600998648,0.12563649754573353,0.03222285112881837,0.10299672876634852,0.1383413727229104,-0.14490115859063465
Total Length of Fwd Packets,-0.2076912664982866,-0.27565538965203673,0.03309524212367645,0.1826532964535432,-0.06247448425384645,0.24952350760825917,-0.005667205487006796,1.0,-0.0005156113052812684,-0.012983054449172627,-0.03362228556992327,-0.012725288590778578,0.017905356264528105,-0.011247907675002796,-0.050720971134738675,-0.02488647314412247,-0.013805015446865342,-0.15374807086148834,-0.2940333377778675,-0.07044676579834047,-0.07053840803950337,-0.05881833123790668,-0.003958742935762524,-0.062022162082668884,-0.07082461777449447,-0.0683999061946021,-0.05802189942866302,-0.003835568850289198,-0.01777099171358216,-0.02575513997114018,-0.02528205370414654,-0.022582245642393334,-0.036676378899184084,-0.033359559674299114,,,,-0.2312677654989427,0.007550601876989058,-0.27845374707146486,-0.014548085123687311,-0.033601148934782846,-0.017149352980314527,-0.014025287828628651,-0.004207073052807601,-0.0019739510408413753,,-0.00834800411342222,-0.033359559674299114,,-0.15735013274344511,-0.07321556857474505,-0.05433094050704034,,-0.08153878673343125,-0.07143318497632489,-0.012725288590778578,-0.024886473144122484,-0.2312677654989427,,,,,,,0.24952350760825917,1.0,-0.005667205487006796,-0.0005156113052812684,-0.08030681571652107,-0.027824990108915787,0.9975860833593952,-0.060373658135635506,-0.006967040097040859,-0.0034391272654636855,-0.0060600241946849025,-0.006667583978780332,-0.05288708761648695,-0.049989216266946024,-0.05755427485190977,-0.04452304896130672,0.08881394893684778
Total Length of Bwd Packets,-0.00833969252282165,0.015369433591022897,-0.020576582172807646,-0.024033008954252682,0.02018034949016845,0.020134652585967753,0.9168812584293372,-0.0005156113052812684,1.0,0.000738642322826393,-0.013799187167960556,-0.013083495481843834,0.038184558122306984,0.7316443336175003,0.001057904813649297,0.49693759175825275,0.5384646590456483,-0.010294061569612408,-0.015818582121070877,-0.001719328520593792,0.004968977850597625,0.04902131469265011,-0.00018263917970724085,0.02008855712761864,-0.0004099768398247312,0.009876078329058995,0.04900397196343109,-0.00017767967154215734,0.029858920845712993,0.0010040169848400215,0.00491248474640002,0.02267907518686129,0.0018842493025584336,0.000464832726499231,,,,0.0008539104552019774,0.00022880638327209661,-0.01507640885534882,-0.0005091444809452936,-0.013798038981649965,0.4284847586478027,0.04022010305923785,0.5706304811566474,0.9372603534491288,,-0.0003315111224906105,0.000464832726499231,,0.027376848542844875,-0.001330541646168484,-0.001202764224115806,,0.08035927875245082,0.02232178671347471,-0.013083495481843834,0.49693759175825275,0.0008539104552019774,,,,,,,0.020134652585967753,-0.0005156113052812704,0.9168812584293372,1.0,0.09789107431524849,0.002815312471791763,0.0010093393294696082,0.002467581594243345,0.007296780881978116,0.008484428094702024,0.006838374455407423,0.003935774438868958,0.020458170202308515,0.0007844486831291173,0.015137802731791635,0.024236266599588288,-0.045967826383418675
Fwd Packet Length Max,-0.37752435977855064,-0.5049557585580746,0.08268631706404343,0.5359122880918908,-0.18467304264567405,-0.02458204085701333,-0.0016142634007529257,-0.012983054449172627,0.000738642322826393,1.0,0.9744027376055844,0.9844899960446251,0.06194446598286335,0.017868646576262966,-0.14818345628916027,-0.01857569910978852,0.02928608690003154,0.7966039443689678,0.24185908655368232,-0.21161276412466415,-0.20801909220692177,-0.17703291001318117,-0.007112534747907377,-0.1836672183153724,-0.21034243828763544,-0.19900532407506236,-0.1753805196757683,-0.006728804551362795,-0.02119274045904016,-0.07135342501688133,-0.06548518256548279,-0.0483816525756332,-0.10711363758587764,-0.09138156984320916,,,,0.010175083260600503,0.02220456445978146,0.25479562680702583,-0.04477274516955124,0.9741384110699214,0.8441172999884881,0.9839816776810569,0.014761403116748525,0.010011927137752586,,-0.025802026294680376,-0.09138156984320916,,-0.4597709361821736,-0.21698702784098367,-0.16679440982752122,,-0.23685442611459837,0.9799245691289405,0.9844899960446251,-0.018575699109788502,0.010175083260600503,,,,,,,-0.02458204085701335,-0.012983054449172627,-0.0016142634007529218,0.000738642322826395,-0.1913606275698387,-0.06940439790569258,-0.07160438863348335,-0.1411425806368452,-0.01653359213366567,-0.00918865804789678,-0.016522246134470987,-0.01598866297097443,-0.1572136214292657,-0.15227482007220214,-0.17270056638208078,-0.1308769388546521,0.2279155704186301
