feature_1,feature_2,correlation,abs_correlation
Bwd Packet Length Mean,Avg Bwd Segment Size,1.0000000000000002,1.0000000000000002
Total Backward Packets,Subflow Bwd Packets,1.0,1.0
Total Fwd Packets,Subflow Fwd Packets,1.0,1.0
Total Length of Fwd Packets,Subflow Fwd Bytes,1.0,1.0
Fwd Header Length,Fwd Header Length.1,1.0,1.0
Fwd PSH Flags,RST Flag Count,1.0,1.0
Fwd Packet Length Mean,Avg Fwd Segment Size,1.0,1.0
Total Length of Bwd Packets,Subflow Bwd Bytes,1.0,1.0
Fwd Packet Length Min,Min Packet Length,0.9998639620403393,0.9998639620403393
Flow IAT Min,Fwd IAT Min,0.9996243723297471,0.9996243723297471
Flow Duration,Fwd IAT Total,0.9994297508876178,0.9994297508876178
Subflow Fwd Bytes,act_data_pkt_fwd,0.9975860833593952,0.9975860833593952
Total Length of Fwd Packets,act_data_pkt_fwd,0.9975860833593952,0.9975860833593952
Flow IAT Max,Fwd IAT Max,0.9967952361923382,0.9967952361923382
Packet Length Mean,Average Packet Size,0.9967346801637756,0.9967346801637756
Fwd Packet Length Mean,Packet Length Mean,0.9966525471713226,0.9966525471713226
Packet Length Mean,Avg Fwd Segment Size,0.9966525471713226,0.9966525471713226
Fwd Packet Length Min,Avg Fwd Segment Size,0.9965989026024696,0.9965989026024696
Fwd Packet Length Min,Fwd Packet Length Mean,0.9965989026024696,0.9965989026024696
Min Packet Length,Avg Fwd Segment Size,0.9963904336007882,0.9963904336007882
Fwd Packet Length Mean,Min Packet Length,0.996390433600788,0.996390433600788
Fwd Packet Length Mean,Average Packet Size,0.995344059332265,0.995344059332265
Average Packet Size,Avg Fwd Segment Size,0.9953440593322648,0.9953440593322648
Min Packet Length,Average Packet Size,0.9947857763966519,0.9947857763966519
Fwd Packet Length Min,Average Packet Size,0.9947799605156282,0.9947799605156282
Fwd Packet Length Min,Packet Length Mean,0.9930667564384794,0.9930667564384794
Min Packet Length,Packet Length Mean,0.9930419742883928,0.9930419742883928
Flow IAT Std,Fwd IAT Std,0.9903676066150965,0.9903676066150965
Bwd IAT Mean,Bwd IAT Std,0.986322350499873,0.986322350499873
Flow IAT Mean,Fwd IAT Mean,0.9848708968015331,0.9848708968015331
Fwd Packet Length Max,Fwd Packet Length Mean,0.9844899960446251,0.9844899960446251
Fwd Packet Length Max,Avg Fwd Segment Size,0.9844899960446251,0.9844899960446251
Fwd Packet Length Max,Packet Length Mean,0.9839816776810569,0.9839816776810569
Flow Packets/s,Fwd Packets/s,0.982618477799476,0.982618477799476
Fwd IAT Max,Idle Max,0.982427357997106,0.982427357997106
Flow IAT Max,Idle Max,0.9812508742853678,0.9812508742853678
Fwd Packet Length Max,Average Packet Size,0.9799245691289405,0.9799245691289405
Fwd Packet Length Max,Fwd Packet Length Min,0.9744027376055844,0.9744027376055844
Fwd Packet Length Max,Min Packet Length,0.9741384110699214,0.9741384110699214
Idle Mean,Idle Min,0.9660984381051774,0.9660984381051774
Fwd IAT Std,Fwd IAT Max,0.9632982772063281,0.9632982772063281
Idle Mean,Idle Max,0.9616643557804311,0.9616643557804311
Flow IAT Max,Fwd IAT Std,0.9602323070824956,0.9602323070824956
Flow IAT Std,Fwd IAT Mean,0.957737083738001,0.957737083738001
Flow IAT Std,Flow IAT Max,0.9501957959725034,0.9501957959725034
Bwd Packet Length Std,Packet Length Std,0.9488043556197707,0.9488043556197707
Fwd IAT Std,Idle Max,0.9488032375864202,0.9488032375864202
Flow IAT Std,Fwd IAT Max,0.9477388643570918,0.9477388643570918
Fwd IAT Mean,Fwd IAT Std,0.9463411553253155,0.9463411553253155
Fwd IAT Max,Idle Mean,0.9443557424718388,0.9443557424718388
Flow IAT Max,Idle Mean,0.9437935601803624,0.9437935601803624
Active Mean,Active Min,0.9421769664321804,0.9421769664321804
Bwd IAT Std,Bwd IAT Max,0.9418941096275454,0.9418941096275454
Flow IAT Mean,Flow IAT Std,0.9413674367084048,0.9413674367084048
Flow IAT Std,Idle Max,0.9402989538225709,0.9402989538225709
Total Length of Bwd Packets,Packet Length Variance,0.9372603534491288,0.9372603534491288
Packet Length Variance,Subflow Bwd Bytes,0.9372603534491286,0.9372603534491286
Fwd IAT Std,Idle Mean,0.9193095337933987,0.9193095337933987
Total Backward Packets,Total Length of Bwd Packets,0.9168812584293372,0.9168812584293372
Total Backward Packets,Subflow Bwd Bytes,0.9168812584293372,0.9168812584293372
Total Length of Bwd Packets,Subflow Bwd Packets,0.9168812584293372,0.9168812584293372
Subflow Bwd Packets,Subflow Bwd Bytes,0.9168812584293372,0.9168812584293372
Flow IAT Mean,Fwd IAT Std,0.9101617314092948,0.9101617314092948
Fwd IAT Total,Fwd IAT Mean,0.9035119073068401,0.9035119073068401
Flow Duration,Fwd IAT Mean,0.9032326462425776,0.9032326462425776
Bwd Packet Length Mean,Packet Length Std,0.9029995475249436,0.9029995475249436
Packet Length Std,Avg Bwd Segment Size,0.9029995475249435,0.9029995475249435
Bwd Packet Length Max,Bwd Packet Length Std,0.901580655896437,0.901580655896437
Fwd IAT Mean,Fwd IAT Max,0.8999685588081485,0.8999685588081485
Flow IAT Max,Fwd IAT Mean,0.8971257362065939,0.8971257362065939
Bwd Packet Length Std,Avg Bwd Segment Size,0.8970290664147513,0.8970290664147513
Bwd Packet Length Mean,Bwd Packet Length Std,0.897029066414751,0.897029066414751
Flow IAT Std,Idle Mean,0.895068153779601,0.895068153779601
Flow Duration,Idle Max,0.8929142988184845,0.8929142988184845
Fwd IAT Total,Idle Max,0.8921214458420332,0.8921214458420332
Fwd IAT Mean,Idle Max,0.8896322642950166,0.8896322642950166
Flow Duration,Flow IAT Mean,0.8889907262348377,0.8889907262348377
Flow Duration,Fwd IAT Max,0.8885596896234759,0.8885596896234759
Fwd IAT Total,Fwd IAT Max,0.8884846790465244,0.8884846790465244
Flow IAT Mean,Fwd IAT Total,0.8882622777816163,0.8882622777816163
Flow Duration,Flow IAT Max,0.8879890653526336,0.8879890653526336
Flow IAT Max,Fwd IAT Total,0.8856007105600324,0.8856007105600324
Bwd Packet Length Max,Packet Length Std,0.8853223191462993,0.8853223191462993
Bwd IAT Mean,Bwd IAT Max,0.88374506347513,0.88374506347513
Flow Duration,Flow IAT Std,0.8826916639593521,0.8826916639593521
Flow IAT Std,Fwd IAT Total,0.8807435095009278,0.8807435095009278
Flow Duration,Fwd IAT Std,0.8706660370977554,0.8706660370977554
Fwd IAT Total,Fwd IAT Std,0.8705230664205161,0.8705230664205161
Idle Max,Idle Min,0.8675733409492759,0.8675733409492759
Flow IAT Mean,Flow IAT Max,0.8665761765434061,0.8665761765434061
Flow IAT Mean,Fwd IAT Max,0.8662688034599865,0.8662688034599865
Bwd IAT Total,Bwd IAT Max,0.8653794866176651,0.8653794866176651
