,xgb_global,xgb_benign,xgb_DrDoS_DNS,xgb_DrDoS_LDAP,xgb_DrDoS_MSSQL,xgb_DrDoS_NetBIOS,xgb_DrDoS_NTP,xgb_DrDoS_SNMP,xgb_DrDoS_SSDP,xgb_DrDoS_UDP,xgb_Syn,xgb_TFTP,xgb_UDPLag,paper_UDPLag,paper_TFTP,paper_WebDDoS,paper_DrDoS_DNS,paper_benign,paper_DrDoS_MSSQL,paper_DrDoS_LDAP,paper_DrDoS_NetBIOS,paper_DrDoS_NTP,paper_DrDoS_SSDP,paper_DrDoS_SNMP,paper_Syn,paper_DrDoS_UDP,xgb_weighted,paper_avg,combined_score,method_count,class_count,consistency_score,final_score,category,feature_name
Flow IAT Min,0.0013533195130497502,0.00022983093396578878,0.011196858181277136,0.0015280239559929101,0.021474329871821674,0.009628311338916559,0.0025034048979972767,2.9670579406494658e-05,0.006606969566730392,0.01930530001544424,0.0002226433470439383,0.00022983961186887237,0.028618657615493447,0.0,0.0,0.0,0.0,0.38606225250943915,0.0,0.0,0.0,0.0034339342218812925,0.0,0.0,0.0,0.0,0.005620019801017836,0.029961245133178497,0.015356509933882101,1,5,0.29,0.09774955695371747,Flow_Timing,Flow IAT Min
Fwd IAT Total,0.012900704007566889,7.020339815680977e-05,0.06162278799767294,0.0077387287771246115,0.0025253130553139435,0.0,0.06361225994911021,0.0,0.006238559063009447,0.005223839504179071,0.0013617518207569377,0.000401659268314707,0.003023496148082301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003803674442771687,0.0,0.012751211552112805,0.0002925903417516682,0.00776776306796835,1,2,0.206,0.06723743414757784,Flow_Timing,Fwd IAT Total
Fwd IAT Mean,0.0005399429886993289,0.00013262402651795618,0.0061203195990879745,0.0011080961680868305,0.005213326939962847,0.0,0.0010045496991963603,0.0,0.0029134222294255646,0.0033220144026576116,0.0014726722143022584,0.002700235986989184,0.0033800769183719914,0.004729191941827848,0.2558714462299135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015843441047096605,0.020046202936287796,0.008969087637340915,1,1,0.178,0.05967836134613864,Flow_Timing,Fwd IAT Mean
Fwd IAT Max,0.0010028584916070644,8.427646778732133e-06,0.005605592490754542,0.00044236839725979017,0.0031051603598604128,0.0,0.004294719496564225,0.0,0.0019834624200329707,0.0031103333024882665,0.00011506547930410962,9.765844829611565e-05,0.002458346595170562,0.0036396232101322166,0.1866501854140915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014622001284683122,0.01463767758647875,0.006732391111672487,1,1,0.178,0.05811267377817074,Flow_Timing,Fwd IAT Max
Flow IAT Max,0.0005889490537031931,0.00017654404536483607,0.00920622414904877,0.0016027609538404846,0.004440085400547397,0.0007699236271013117,0.0018629303985096559,0.0,0.007758542078361275,0.003253467602602774,0.0007993786534825573,0.00021659872291339316,0.0031246545396537836,0.0,0.15945611866501855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001896135130052589,0.012265855281924504,0.006044023190801355,1,1,0.178,0.05763081623356094,Flow_Timing,Flow IAT Max
Flow IAT Mean,0.0009584573700531674,0.0001451449961892181,0.003825918561941622,0.0019057566451142088,0.009084273637894536,0.0006186961217781034,0.0011376284990898974,0.0003268498714300528,0.006763500668311356,0.003583482002866785,0.0016337028049315662,0.0005433076571406321,0.0026855955762361767,0.0,0.15327564894932016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019960758001674747,0.011790434534563089,0.005913819293925721,1,1,0.178,0.057539673505748,Flow_Timing,Flow IAT Mean
Flow Duration,0.0021248159776151763,0.0005252419362097729,0.018037628292029203,0.005385833144888006,0.015486741792259543,0.01090433838383271,0.012569027989944779,0.00020999486164434915,0.0027365915276395744,0.002678185002142548,0.00718258658203092,0.002594616995321044,0.003034654547152583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027245233749450437,0.0,0.004917198443800822,0.00020957872114961876,0.0030341505547403407,0,4,0.11199999999999999,0.03572390538831824,Flow_Timing,Flow Duration
Fwd IAT Min,0.0035927214894207046,0.00016760387559956022,0.010871787176014237,0.002020246041816914,0.01164334409929494,0.003077929208343108,0.010362335991710133,0.00012800174881136717,0.0021767814219854926,0.017005142013604115,0.00016380373046793328,0.00024151976094747215,0.002608216582683394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044604241783322155,0.0,0.002676254506999329,0,4,0.11199999999999999,0.03547337815489953,Flow_Timing,Fwd IAT Min
Fwd IAT Std,0.0007850344444058921,0.0,0.010841104175517478,0.00038729041884603597,0.002477606446712442,0.0,0.0012809589989752328,0.0,0.002073847720945862,0.003535886302828709,0.002981550326497623,0.001987767243192993,0.002837661163566072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017341974176164792,0.0,0.0010405184505698874,0,1,0.027999999999999997,0.00912836291539892,Flow_Timing,Fwd IAT Std
Flow IAT Std,0.0006779850839236115,0.0002875693524498666,0.004508740772996513,0.0004505854570231389,0.002136146785147265,0.0,0.002187339098250129,0.0,0.003207795832398738,0.002779697802223758,0.00013210187231272783,0.0002056325637784696,0.002229394814246824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001177444251110816,0.0,0.0007064665506664896,0,0,0.0,0.0004945265854665427,Flow_Timing,Flow IAT Std
