,xgb_global,xgb_benign,xgb_DrDoS_DNS,xgb_DrDoS_LDAP,xgb_DrDoS_MSSQL,xgb_DrDoS_NetBIOS,xgb_DrDoS_NTP,xgb_DrDoS_SNMP,xgb_DrDoS_SSDP,xgb_DrDoS_UDP,xgb_Syn,xgb_TFTP,xgb_UDPLag,paper_UDPLag,paper_TFTP,paper_WebDDoS,paper_DrDoS_DNS,paper_benign,paper_DrDoS_MSSQL,paper_DrDoS_LDAP,paper_DrDoS_NetBIOS,paper_DrDoS_NTP,paper_DrDoS_SSDP,paper_DrDoS_SNMP,paper_Syn,paper_DrDoS_UDP,xgb_weighted,paper_avg,combined_score,method_count,class_count,consistency_score,final_score,rank
ACK Flag Count,0.3232138051988961,0.001604369557877277,0.007393541119701432,0.0,0.0,0.0,0.011242559991005954,0.0,0.0,0.0,0.8022933533129452,0.8099937361028342,0.0009332647722403792,0.9693143444428131,0.0,0.7434805387956531,0.0,0.4609310249562575,0.0,0.0,0.0,0.0,0.0,0.0,0.9714624495396955,0.0,0.21095856332238866,0.2419375659795707,0.22335016438526148,2,7,0.496,0.305145115069683,1
min_seg_size_forward,0.010962184453932995,0.00015203753600825446,0.009709965157204336,0.004343860174896828,0.023768939285539754,0.010882302383057043,0.020586734983530613,0.00018922047346023844,0.008089288081701809,0.7544930606035944,0.0014221592172417106,0.0,0.28142244655188176,0.0061433130616881364,0.24474660074165638,0.014737446973922154,0.0,0.0,0.0,0.0,0.20168067226890757,0.004236983411640617,0.007702182284980744,0.0,0.005808763772498969,0.05778301886792452,0.06013787450397904,0.041756844721786084,0.05278546259110185,2,9,0.552,0.2025498238137713,2
Max Packet Length,0.021496801545066453,0.00016767397559771974,0.008027700129968467,0.0015249601560811475,0.005311113357593738,0.009484531333855501,0.008219025993424781,0.29008213464392063,0.02429558524538541,0.006826619605461296,0.002812466636336941,0.005103849597377721,0.004837924196904156,0.0,0.0,0.0,0.8872589312958085,0.0,0.0,0.8872812810825706,0.0,0.0,0.0,0.8872561591264589,0.0,0.0,0.026933399861621955,0.2047535670388337,0.09806146673250665,2,5,0.43999999999999995,0.20064302671275464,3
Average Packet Size,0.035129358716167715,0.0,0.022505040364356608,0.48720148596859725,0.6488238569829413,0.6205630518438194,0.008412759993269793,0.12092573942988112,0.13298851134318396,0.007836862006269488,0.0,0.007085761941032585,0.06411867065763235,0.0,0.0,0.0,0.004552828062047364,0.0,0.0,0.004533847335948231,0.0,0.0,0.0,0.0045531596016447455,0.0,0.0,0.12007483051301626,0.0010492180768954108,0.07246458553856792,1,7,0.346,0.15452520987699753,4
Init_Win_bytes_forward,0.01757561641349482,0.0027995259264984463,0.003610039858446546,0.0009526199725645449,0.002500829750899604,0.0,0.005375616295699508,0.0,0.0028063857283444956,0.0,0.006622135214644707,0.011104033124047244,0.0,0.0161735273435387,0.0,0.15814024235663945,0.0,0.07325720600423612,0.0,0.0,0.0,0.0,0.0,0.0,0.016200588870088867,0.0,0.008818805858955184,0.020290120351884856,0.013407331656127053,2,5,0.43999999999999995,0.1413851321592889,5
Min Packet Length,0.03371695785418703,0.003551285406761001,0.00684008211074093,0.2738235921138806,0.01431499308099325,0.003405096119859383,0.0028836769976930588,0.015083104681585822,0.4753515448010506,0.018453695014762954,0.0,0.0028983087713640144,0.09805259183025805,0.0,0.0,0.0,0.002714260805669201,0.0,0.0,0.0027132286032182542,0.0,0.0,0.0,0.002715568463362546,0.0,0.0,0.05921968168812229,0.000626389067096154,0.035782364639711836,1,6,0.31799999999999995,0.12044765524779827,6
Fwd Packets/s,0.0020963452915955107,0.00046971764766756306,0.012918686209153532,0.002694564322396548,0.02113943181143955,0.001594901056140517,0.0014426693988458647,5.426286825688269e-05,0.07268831073415194,0.002184765201747812,0.0028231752357137864,0.002133740631677737,0.0023427373048031277,0.0,0.0,0.0,0.0,0.0,0.816,0.0,0.48179271708683474,0.0,0.0,0.0,0.0,0.0,0.006962886237737947,0.09983020900667959,0.04410981534531461,1,5,0.29,0.11787687074172022,7
Fwd Packet Length Max,0.0048509375652286526,0.00012353785675651356,0.010363832167790445,0.0014379495585870527,0.004223346061469295,0.036531867285921726,0.005163237495869411,0.0003682068178150421,0.007107633671787099,0.01445376201156301,0.0,0.006549894783305,0.01569090469263382,0.0,0.0,0.0,0.0994071749269866,0.0,0.0,0.09940800392026482,0.0,0.0,0.0,0.09940705724335146,0.0,0.0,0.007041083646266382,0.022940172006969455,0.01340071899054761,1,7,0.346,0.11318050329338332,8
Fwd Packet Length Std,0.009623709425510512,0.0,0.0024320018393741098,0.0,0.00185295313408745,0.0,0.032030567974375555,0.0,0.0,0.006212828004970262,0.0,0.0,0.0034237627147320903,0.0,0.0,0.04869103753654785,0.0,0.041117966663597016,0.0,0.0,0.0,0.0064783296576853,0.383183568677792,0.0,0.0,0.3626179245283019,0.006147089453581178,0.06477606362030185,0.029598679120269446,1,5,0.29,0.10771907538418861,9
act_data_pkt_fwd,0.15001534096138103,0.0006015252842069535,0.20502853331941195,0.0,0.008197444477999239,0.0,0.6795174994563861,0.0,0.0,0.00241013760192811,0.0,0.0,0.0007501820374948326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10483140249342376,0.0,0.06289884149605425,1,2,0.206,0.10582918904723797,10
Protocol,0.003097823055489091,0.0005452673856840047,0.022970721371895982,0.0,0.0,0.0,0.025166220979867027,0.0,0.0,0.0,0.0,0.005874084536616968,0.0,0.0,0.0,0.0,0.0,0.0,0.184,0.0,0.12885154061624648,0.0,0.029525032092426184,0.0,0.0,0.02653301886792453,0.0039669439358988355,0.028377660890507476,0.013731230717742293,1,6,0.31799999999999995,0.10501186150241959,11
Inbound,0.05330119571386148,0.8112719787000541,0.03922789063509956,0.0005643990437453075,0.005955671073807494,0.043456157529656744,0.005855056495315956,0.0011543776990958455,0.0006429252064935445,0.0,0.0,0.00022386749233998903,0.0006822870431518436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0667722088314826,0.0,0.04006332529888956,1,3,0.23399999999999999,0.09824432770922269,12
Flow IAT Min,0.0013533195130497502,0.00022983093396578878,0.011196858181277136,0.0015280239559929101,0.021474329871821674,0.009628311338916559,0.0025034048979972767,2.9670579406494658e-05,0.006606969566730392,0.01930530001544424,0.0002226433470439383,0.00022983961186887237,0.028618657615493447,0.0,0.0,0.0,0.0,0.38606225250943915,0.0,0.0,0.0,0.0034339342218812925,0.0,0.0,0.0,0.0,0.005620019801017836,0.029961245133178497,0.015356509933882101,1,5,0.29,0.09774955695371747,13
Packet Length Mean,0.03822668748926309,0.0,0.10973614677662823,0.0016891998513510445,0.007078113276183824,0.0010507425369861373,0.006552298594758162,0.1308950885584603,0.003544317335797605,0.035963282028770624,0.0,0.0016935232664047237,0.22192898150887724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04129725968241614,0.0,0.024778355809449683,1,4,0.262,0.09594484906661478,14
Fwd Header Length,0.005016657520735792,0.0011629110694677696,0.0034672394561346075,0.0026090277248600018,0.016314158941442856,0.00904039431822188,0.0023922819980861745,0.0007703087326673137,0.005704209057612511,0.00845383800676307,0.01440626766167047,0.10486076172795396,0.06494251458898968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0896358543417367,0.0,0.0,0.0,0.0,0.0,0.01371285867248783,0.00689506571859513,0.010985741490930751,1,5,0.29,0.09469001904365151,15
Source Port,0.007923383026621069,0.10534495723416813,0.08449999136805486,0.03820757489962184,0.04512037013520273,0.1922803467682682,0.007218803994224958,0.0006307765448638222,0.026463835267284738,0.040881112032704885,0.009905560423575627,0.010756167151488999,0.059090889076547116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03418937245544872,0.0,0.020513623473269234,0,9,0.252,0.08995953643128846,16
Fwd Packet Length Mean,0.036996706842002985,0.0018777771506989607,0.17497720283288093,0.0012534794638997915,0.00730720061748827,0.0012175844428589722,0.0012416886990066491,0.43075093234806106,0.010940074110494748,0.006190357704952286,0.0,0.0,0.004824192298048298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0468277072202207,0.0,0.02809662433213242,1,3,0.23399999999999999,0.08986763703249269,17
Destination Port,0.0016287111441737289,0.029500694225459267,0.0016742985271068934,0.000988212571539478,0.0027201147904366966,0.0010487112369146354,0.002310010798151992,0.00010995363038895318,0.001556328615718919,0.0038171813030537446,0.0020916234782842463,0.0037707385025415223,0.003297822925225394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4306803594351733,0.0,0.0,0.4121462264150943,0.0032957689879105786,0.06483281429617443,0.02791058711121612,1,3,0.23399999999999999,0.08973741097785129,18
Packet Length Std,0.002459338305341829,7.521079802534048e-05,0.0023811364385505993,0.0,0.0024703780454091613,0.0,0.0014150323988679743,0.0,0.0,0.003441606602753285,0.0,0.0,0.0016528287622863075,0.0,0.0,0.0349507343372374,0.0,0.03863154986647021,0.0,0.0,0.0,0.0,0.1489088575096277,0.0,0.0,0.1409198113207547,0.0015555449744313649,0.02795468869493,0.012115202462630821,1,4,0.262,0.08708064172384158,19
Total Length of Fwd Packets,0.004967379539989667,0.00044103568842060795,0.010480752169683378,0.0012687188634608968,0.009586444728435985,0.0017519438616684238,0.0005134346395892524,0.007441707349520361,0.008547233086327053,0.00849256400679405,0.0,6.983629449089407e-05,0.01579982068355894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34772029916578767,0.0,0.0,0.0,0.0,0.005206626384593359,0.026747715320445207,0.013823061958934098,1,3,0.23399999999999999,0.07987614337125387,20
Subflow Fwd Bytes,0.00897480164141469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6381304535430051,0.0,0.0,0.0,0.0,0.0035899206565658762,0.04908695796484655,0.02178873557987815,1,1,0.178,0.0686521149059147,21
Fwd IAT Total,0.012900704007566889,7.020339815680977e-05,0.06162278799767294,0.0077387287771246115,0.0025253130553139435,0.0,0.06361225994911021,0.0,0.006238559063009447,0.005223839504179071,0.0013617518207569377,0.000401659268314707,0.003023496148082301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003803674442771687,0.0,0.012751211552112805,0.0002925903417516682,0.00776776306796835,1,2,0.206,0.06723743414757784,22
Idle Std,0.042554523620482294,0.0,0.0006471575604774809,0.0,0.0,0.0,0.0006891923994486462,0.0,0.0,0.0,0.12387826279127612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02328254008575303,0.0,0.013969524051451817,1,1,0.178,0.06317866683601626,23
