,global_importance,benign_importance,DrDoS_DNS_importance,DrDoS_LDAP_importance,DrDoS_MSSQL_importance,DrDoS_NetBIOS_importance,DrDoS_NTP_importance,DrDoS_SNMP_importance,DrDoS_SSDP_importance,DrDoS_UDP_importance,Syn_importance,TFTP_importance,UDPLag_importance
global_importance,1.0,-0.030810533095347876,-0.014568683247521466,-0.02046619456057336,-0.04323155341346131,-0.02862951814391682,0.0008088984853931479,-0.02120214245890454,-0.03392450393904002,-0.029223433130098887,-0.009960239921247978,0.004764657146023211,-0.02908187023105079
benign_importance,-0.030810533095347876,1.0,-0.004048718051140286,0.002746599561730018,0.08879589804389378,0.003956401899601615,-0.004085433451525621,0.002584923163789643,0.006022267636927004,-0.0017085273927685616,0.08977627587389081,0.10076497492434058,0.0016227286628269974
DrDoS_DNS_importance,-0.014568683247521466,-0.004048718051140286,1.0,0.9457870283461925,0.45659010738769856,0.3773300493002991,0.9181249173830696,0.1486834318987107,0.42716465867239045,0.7070239951589148,0.2533227423762733,0.12043081286132891,0.41647314018473647
DrDoS_LDAP_importance,-0.02046619456057336,0.002746599561730018,0.9457870283461925,1.0,0.6900337603830418,0.6444097762340308,0.7568552080016945,0.12254873456395138,0.6822950639384183,0.7249239275595417,0.28702079524273016,0.18171682828523097,0.4457350037802944
DrDoS_MSSQL_importance,-0.04323155341346131,0.08879589804389378,0.45659010738769856,0.6900337603830418,1.0,0.8940669455168476,0.07912803655727861,0.2605683299686904,0.9737851556765353,0.634842243237221,0.2643097864758275,0.2025857374288931,0.5420370546970846
DrDoS_NetBIOS_importance,-0.02862951814391682,0.003956401899601615,0.3773300493002991,0.6444097762340308,0.8940669455168476,1.0,0.009638263324969249,0.19542454638871432,0.9126953477949232,0.5548840061976694,0.06251135865392418,0.07964295436670522,0.4712586638982615
DrDoS_NTP_importance,0.0008088984853931479,-0.004085433451525621,0.9181249173830696,0.7568552080016945,0.07912803655727861,0.009638263324969249,1.0,-0.0058312009534887636,0.059710274312324334,0.4716541063626386,0.23409124986973773,0.10627558313226662,0.1760937745148906
DrDoS_SNMP_importance,-0.02120214245890454,0.002584923163789643,0.1486834318987107,0.12254873456395138,0.2605683299686904,0.19542454638871432,-0.0058312009534887636,1.0,0.07660647220775645,0.7694116797368379,-0.01957927878252987,-0.0076432729829508566,0.9353285571413662
DrDoS_SSDP_importance,-0.03392450393904002,0.006022267636927004,0.42716465867239045,0.6822950639384183,0.9737851556765353,0.9126953477949232,0.059710274312324334,0.07660647220775645,1.0,0.5054702419602783,0.21837140926041085,0.16052565177319444,0.381423661082431
DrDoS_UDP_importance,-0.029223433130098887,-0.0017085273927685616,0.7070239951589148,0.7249239275595417,0.634842243237221,0.5548840061976694,0.4716541063626386,0.7694116797368379,0.5054702419602783,1.0,0.1291558834191662,0.05824739139077916,0.9352478270818658
Syn_importance,-0.009960239921247978,0.08977627587389081,0.2533227423762733,0.28702079524273016,0.2643097864758275,0.06251135865392418,0.23409124986973773,-0.01957927878252987,0.21837140926041085,0.1291558834191662,1.0,0.9208814470165916,0.058041194887720894
TFTP_importance,0.004764657146023211,0.10076497492434058,0.12043081286132891,0.18171682828523097,0.2025857374288931,0.07964295436670522,0.10627558313226662,-0.0076432729829508566,0.16052565177319444,0.05824739139077916,0.9208814470165916,1.0,0.03455141772516911
UDPLag_importance,-0.02908187023105079,0.0016227286628269974,0.41647314018473647,0.4457350037802944,0.5420370546970846,0.4712586638982615,0.1760937745148906,0.9353285571413662,0.381423661082431,0.9352478270818658,0.058041194887720894,0.03455141772516911,1.0
