feature,global_importance,benign_importance,DrDoS_DNS_importance,DrDoS_LDAP_importance,DrDoS_MSSQL_importance,DrDoS_NetBIOS_importance,DrDoS_NTP_importance,DrDoS_SNMP_importance,DrDoS_SSDP_importance,DrDoS_UDP_importance,Syn_importance,TFTP_importance,UDPLag_importance,per_class_mean,per_class_std,per_class_max
ACK Flag Count,0.32093665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
act_data_pkt_fwd,0.14895843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Avg Fwd Segment Size,0.06670592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inbound,0.05292567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Idle Std,0.042254712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Packet Length Mean,0.037957367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fwd Packet Length Mean,0.036736052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Average Packet Size,0.03488186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Min Packet Length,0.03347941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Packet Length,0.021345349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
URG Flag Count,0.019758696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Init_Win_bytes_forward,0.01745179,0.002799526,0.0036100398,0.00095262,0.0025008293,0.0,0.0053756163,0.0,0.0028063857,0.0,0.0066221356,0.011104034,0.0,0.002980932225,0.0033753812492249157,0.011104034
Init_Win_bytes_backward,0.014861308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fwd IAT Total,0.012809814,7.02034e-05,0.061622787,0.007738729,0.0025253126,0.0,0.06361226,0.0,0.006238559,0.0052238395,0.0013617519,0.0004016593,0.0030234964,0.012651549841666667,0.023484583617209735,0.06361226
min_seg_size_forward,0.010884952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fwd Packet Length Std,0.009555907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Subflow Fwd Bytes,0.008911571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fwd Packet Length Min,0.008734644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Source Port,0.00786756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CWE Flag Count,0.0074482276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unnamed: 0,0.0070454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Subflow Fwd Packets,0.0062233456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bwd Packet Length Min,0.0060021007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total Length of Fwd Packets,0.0049323826,0.0004410357,0.010480752,0.0012687189,0.009586443,0.0017519438,0.00051343464,0.007441708,0.008547233,0.008492564,0.0,6.98363e-05,0.015799822,0.005366124278333333,0.005321797052290655,0.015799822
Fwd Packet Length Max,0.004816761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flow Bytes/s,0.004680671,0.00045569157,0.023600439,0.006408084,0.030458065,0.009682205,0.0015085468,0.0002440977,0.114942774,0.0046498207,0.00025782315,0.00080283126,0.0052730627,0.016523620073333332,0.03248446358038874,0.114942774
Total Fwd Packets,0.004416612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
