feature,benign_importance,DrDoS_DNS_importance,DrDoS_LDAP_importance,DrDoS_MSSQL_importance,DrDoS_NetBIOS_importance,DrDoS_NTP_importance,DrDoS_SNMP_importance,DrDoS_SSDP_importance,DrDoS_UDP_importance,Syn_importance,TFTP_importance,UDPLag_importance,mean_importance,std_importance,max_importance
 Average Packet Size,0.0,0.02250503934919834,0.4872015118598938,0.6488237380981445,0.6205630302429199,0.008412759751081467,0.12092574685811996,0.13298851251602173,0.007836861535906792,0.0,0.007085762452334166,0.06411867588758469,0.17670513654593378,0.24252983123471694,0.6488237380981445
 ACK Flag Count,0.0016043696086853743,0.0073935408145189285,0.0,0.0,0.0,0.011242560110986233,0.0,0.0,0.0,0.8022934198379517,0.8099938035011292,0.0009332648478448391,0.13612174656009302,0.2996664311051264,0.8099938035011292
 min_seg_size_forward,0.00015203753719106317,0.00970996543765068,0.004343860317021608,0.023768935352563858,0.010882302187383175,0.020586734637618065,0.00018922048911917955,0.008089288137853146,0.7544930577278137,0.0014221592573449016,0.0,0.2814224660396576,0.09292166892676808,0.2133332703580636,0.7544930577278137
 Min Packet Length,0.003551285481080413,0.006840081885457039,0.2738235890865326,0.014314990490674973,0.003405096009373665,0.002883676905184984,0.015083106234669685,0.4753515422344208,0.018453694880008698,0.0,0.002898308914154768,0.09805259853601456,0.07622149755479768,0.14192040761356353,0.4753515422344208
 Inbound,0.8112720251083374,0.039227891713380814,0.0005643990589305758,0.005955670028924942,0.04345615580677986,0.005855056457221508,0.0011543778236955404,0.0006429252098314464,0.0,0.0,0.0002238675078842789,0.0006822870927862823,0.07575288798398105,0.22226108803338912,0.8112720251083374
 act_data_pkt_fwd,0.0006015253020450473,0.20502853393554688,0.0,0.008197442628443241,0.0,0.6795175075531006,0.0,0.0,0.0024101375602185726,0.0,0.0,0.0007501820800825953,0.07470877742161974,0.1908048429564198,0.6795175075531006
 Fwd Packet Length Mean,0.0018777771620079875,0.17497719824314117,0.001253479509614408,0.0073071992956101894,0.0012175843585282564,0.0012416887329891324,0.4307509660720825,0.010940073989331722,0.006190357729792595,0.0,0.0,0.004824192728847265,0.05338170981849544,0.12322436402235827,0.4307509660720825
 Source Port,0.10534495860338211,0.08449999243021011,0.03820757567882538,0.04512036219239235,0.1922803372144699,0.007218804210424423,0.0006307765725068748,0.026463834568858147,0.04088111221790314,0.009905560873448849,0.010756167583167553,0.05909089371562004,0.051700031321767405,0.05224951518890568,0.1922803372144699
 Packet Length Mean,0.0,0.10973614454269409,0.001689199940301478,0.007078112103044987,0.0010507424594834447,0.006552298553287983,0.13089509308338165,0.00354431732557714,0.035963281989097595,0.0,0.0016935233725234866,0.22192899882793427,0.04334430934977718,0.06909477494634661,0.22192899882793427
 Max Packet Length,0.00016767397755756974,0.008027699775993824,0.0015249601565301418,0.005311112385243177,0.009484531357884407,0.008219026029109955,0.2900821566581726,0.024295585229992867,0.006826619617640972,0.0028124668169766665,0.005103849805891514,0.004837924614548683,0.030557800535461865,0.07846924276067825,0.2900821566581726
 Fwd Packet Length Min,0.0009262518724426627,0.004127716179937124,0.1431683599948883,0.015277935191988945,0.00324846338480711,0.005259864963591099,0.0005644549964927137,0.05496262013912201,0.005225540604442358,0.0,0.003397368360310793,0.087969571352005,0.027010678920002345,0.0436181251203311,0.1431683599948883
 Fwd Header Length,0.0011629110667854548,0.0034672394394874573,0.0026090277824550867,0.016314156353473663,0.009040393866598606,0.002392282010987401,0.0007703087758272886,0.005704209208488464,0.008453837595880032,0.014406268484890461,0.10486076772212982,0.06494251638650894,0.019510326557792723,0.030729194618344363,0.10486076772212982
Flow Bytes/s,0.00045569156645797193,0.023600438609719276,0.006408084183931351,0.03045806474983692,0.009682204574346542,0.0015085467603057623,0.00024409769685007632,0.1149427741765976,0.004649820737540722,0.0002578231506049633,0.0008028312586247921,0.005273062735795975,0.01652362001671766,0.03110150604507919,0.1149427741765976
Fwd IAT Total,7.020340126473457e-05,0.06162278726696968,0.007738729007542133,0.0025253125932067633,0.0,0.06361225992441177,0.0,0.006238558795303106,0.005223839543759823,0.0013617519289255142,0.0004016592865809798,0.003023496363312006,0.012651549842606377,0.022484777008092253,0.06361225992441177
 Idle Std,0.0,0.0006471575470641255,0.0,0.0,0.0,0.0006891923840157688,0.0,0.0,0.0,0.12387827038764954,0.0,0.0,0.010434551693227453,0.034205459170534074,0.12387827038764954
Fwd Packets/s,0.000469717662781477,0.01291868556290865,0.0026945644058287144,0.02113942801952362,0.0015949009684845805,0.0014426694251596928,5.4262873163679615e-05,0.07268831133842468,0.0021847651805728674,0.002823175396770239,0.002133740810677409,0.0023427375126630068,0.010207246596413219,0.019752632545440258,0.07268831133842468
 Fwd Packet Length Max,0.00012353785859886557,0.010363832116127014,0.0014379495987668633,0.004223345313221216,0.03653186559677124,0.005163237452507019,0.00036820684908889234,0.0071076336316764355,0.014453762210905552,0.0,0.006549895275384188,0.01569090597331524,0.008501180989696877,0.009874187060676505,0.03653186559677124
 Flow IAT Min,0.00022983094095252454,0.011196858249604702,0.001528023974969983,0.0214743260294199,0.009628310799598694,0.0025034048594534397,2.9670582080143504e-05,0.006606969516724348,0.01930529996752739,0.000222643357119523,0.00022983962844591588,0.02861865982413292,0.008464486477502456,0.00941445095426218,0.02861865982413292
 Flow Duration,0.0005252419505268335,0.01803762838244438,0.005385833326727152,0.01548673864454031,0.010904338210821152,0.012569027952849865,0.0002099948760587722,0.002736591501161456,0.0026781850028783083,0.0071825869381427765,0.0025946171954274178,0.0030346547719091177,0.0067787865627906285,0.005789187539915003,0.01803762838244438
Total Length of Fwd Packets,0.0004410356923472136,0.01048075221478939,0.001268718857318163,0.009586443193256855,0.0017519438406452537,0.0005134346429258585,0.0074417078867554665,0.008547233417630196,0.008492563851177692,0.0,6.983630009926856e-05,0.01579982228577137,0.005366124348559727,0.005095232851020394,0.01579982228577137
 Total Fwd Packets,0.00030743060051463544,0.02216471917927265,0.001200381782837212,0.0025278141256421804,0.024876518175005913,0.0024959295988082886,0.0,0.0031863448675721884,0.003360309172421694,0.0004546838463284075,7.58933019824326e-05,0.0006421310245059431,0.005107679639574296,0.00833306404637201,0.024876518175005913
 Fwd IAT Min,0.0001676038809819147,0.010871786624193192,0.0020202461164444685,0.01164334174245596,0.003077929140999913,0.010362336412072182,0.0001280017604585737,0.002176781417801976,0.01700514182448387,0.00016380373563151807,0.00024151978141162544,0.0026082168333232403,0.005038892439188203,0.005559201269784171,0.01700514182448387
 Protocol,0.0005452674231491983,0.022970721125602722,0.0,0.0,0.0,0.02516622096300125,0.0,0.0,0.0,0.0,0.005874084774404764,0.0,0.004546357857179828,0.008887080781964566,0.02516622096300125
 Destination Port,0.029500694945454597,0.0016742985462769866,0.0009882126469165087,0.0027201143093407154,0.0010487112449482083,0.002310010837391019,0.0001099536384572275,0.001556328614242375,0.003817181335762143,0.0020916236098855734,0.0037707388401031494,0.0032978232484310865,0.004407140984767466,0.007644743456665592,0.029500694945454597
 Init_Win_bytes_backward,0.0002282397326780483,0.00518758175894618,0.0004896486643701792,0.005205894820392132,0.0,0.03812527656555176,0.0,0.0005677238223142922,0.0,0.0,0.0005832171300426126,0.0006820445414632559,0.004255802252979872,0.010374754259317642,0.03812527656555176
 Fwd Packet Length Std,0.0,0.002432001754641533,0.0,0.001852952758781612,0.0,0.03203056752681732,0.0,0.0,0.00621282821521163,0.0,0.0,0.00342376297339797,0.003829342769070839,0.008706608205668551,0.03203056752681732
 Flow Packets/s,0.001123662805184722,0.008730513975024223,0.0010905275121331215,0.007665897719562054,0.004885982722043991,0.0011433725012466311,4.111653470317833e-05,0.0013415612047538161,0.0028553097508847713,0.00169315654784441,0.002675826195627451,0.004046417307108641,0.003107778731343084,0.0026311433406287473,0.008730513975024223
