feature,importance
 Average Packet Size,0.4872015
 Min Packet Length,0.2738236
 Fwd Packet Length Min,0.14316836
 Source Port,0.038207576
Fwd IAT Total,0.007738729
Flow Bytes/s,0.006408084
 Flow Duration,0.0053858333
 min_seg_size_forward,0.0043438603
Fwd Packets/s,0.0026945644
 Fwd Header Length,0.0026090278
 Fwd IAT Min,0.0020202461
 Flow IAT Mean,0.0019057567
 Packet Length Mean,0.0016891999
 Down/Up Ratio,0.0016650576
 Flow IAT Max,0.001602761
 Bwd Packets/s,0.001573717
 Flow IAT Min,0.001528024
 Max Packet Length,0.0015249602
 Fwd Packet Length Max,0.0014379496
Total Length of Fwd Packets,0.0012687189
 Fwd Packet Length Mean,0.0012534795
 URG Flag Count,0.0012220079
 Total Fwd Packets,0.0012003818
 Fwd IAT Mean,0.0011080962
 Flow Packets/s,0.0010905275
 Destination Port,0.0009882126
Init_Win_bytes_forward,0.00095262
 Bwd IAT Min,0.0007830972
 Inbound,0.00056439906
 Init_Win_bytes_backward,0.00048964866
 Flow IAT Std,0.00045058547
 Fwd IAT Max,0.00044236841
 Fwd IAT Std,0.00038729043
 Bwd IAT Mean,0.00038453907
 Bwd Header Length,0.0003128693
 CWE Flag Count,0.00027689393
 SYN Flag Count,0.00020701931
Bwd IAT Total,8.846666e-05
 Protocol,0.0
 Total Backward Packets,0.0
 Total Length of Bwd Packets,0.0
 Bwd Packet Length Std,0.0
 Bwd Packet Length Mean,0.0
 Bwd Packet Length Min,0.0
Bwd Packet Length Max,0.0
 Fwd Packet Length Std,0.0
Fwd PSH Flags,0.0
 Bwd IAT Std,0.0
 Bwd IAT Max,0.0
 PSH Flag Count,0.0
 RST Flag Count,0.0
FIN Flag Count,0.0
 Packet Length Variance,0.0
 Packet Length Std,0.0
 Bwd URG Flags,0.0
 Bwd PSH Flags,0.0
 Fwd URG Flags,0.0
 Fwd Header Length.1,0.0
Fwd Avg Bytes/Bulk,0.0
 Fwd Avg Packets/Bulk,0.0
 Fwd Avg Bulk Rate,0.0
 ECE Flag Count,0.0
 ACK Flag Count,0.0
 Avg Fwd Segment Size,0.0
 Avg Bwd Segment Size,0.0
Subflow Fwd Packets,0.0
Bwd Avg Bulk Rate,0.0
 Bwd Avg Packets/Bulk,0.0
 Bwd Avg Bytes/Bulk,0.0
 Subflow Bwd Bytes,0.0
 Subflow Bwd Packets,0.0
 act_data_pkt_fwd,0.0
 Subflow Fwd Bytes,0.0
Active Mean,0.0
 Active Std,0.0
 Active Min,0.0
 Active Max,0.0
Idle Mean,0.0
 Idle Std,0.0
 Idle Max,0.0
 Idle Min,0.0
