feature,importance
 Average Packet Size,0.64882374
 Source Port,0.045120362
Flow Bytes/s,0.030458065
 min_seg_size_forward,0.023768935
 Flow IAT Min,0.021474326
Fwd Packets/s,0.021139428
 Fwd Header Length,0.016314156
 Flow Duration,0.015486739
 Fwd Packet Length Min,0.015277935
 Min Packet Length,0.0143149905
 Fwd IAT Min,0.011643342
Total Length of Fwd Packets,0.009586443
 Flow IAT Mean,0.009084272
 act_data_pkt_fwd,0.008197443
 Flow Packets/s,0.0076658977
 Fwd Packet Length Mean,0.0073071993
 Packet Length Mean,0.007078112
 Inbound,0.00595567
 Max Packet Length,0.0053111124
 Fwd IAT Mean,0.005213326
 Init_Win_bytes_backward,0.005205895
 Bwd Packets/s,0.004608527
 Flow IAT Max,0.0044400846
 Fwd Packet Length Max,0.0042233453
 Active Std,0.0032093725
 Fwd IAT Max,0.0031051598
Active Mean,0.0030608338
 Total Backward Packets,0.0027942916
 Destination Port,0.0027201143
 Active Min,0.0027135995
 Total Fwd Packets,0.0025278141
Fwd IAT Total,0.0025253126
Init_Win_bytes_forward,0.0025008293
 Fwd IAT Std,0.002477606
 Packet Length Std,0.0024703776
 Bwd IAT Mean,0.0024452293
Bwd IAT Total,0.002387448
 Bwd Header Length,0.0023220333
 Flow IAT Std,0.0021361464
Bwd Packet Length Max,0.0019541197
 Fwd Packet Length Std,0.0018529528
 Down/Up Ratio,0.0013249977
 Bwd IAT Min,0.0012226488
 CWE Flag Count,0.0011750715
 Bwd IAT Std,0.0010668576
 Bwd Packet Length Std,0.0010070162
 Idle Min,0.0009972573
 Bwd Packet Length Mean,0.00089413
 Bwd IAT Max,0.0007703005
Idle Mean,0.0006389537
 Bwd Packet Length Min,0.0
 Protocol,0.0
 Total Length of Bwd Packets,0.0
 PSH Flag Count,0.0
 Bwd URG Flags,0.0
 Bwd PSH Flags,0.0
 Fwd URG Flags,0.0
Fwd PSH Flags,0.0
 RST Flag Count,0.0
 SYN Flag Count,0.0
FIN Flag Count,0.0
 Packet Length Variance,0.0
 URG Flag Count,0.0
 ECE Flag Count,0.0
 ACK Flag Count,0.0
Subflow Fwd Packets,0.0
Bwd Avg Bulk Rate,0.0
 Bwd Avg Packets/Bulk,0.0
 Bwd Avg Bytes/Bulk,0.0
 Fwd Avg Bulk Rate,0.0
 Fwd Avg Packets/Bulk,0.0
Fwd Avg Bytes/Bulk,0.0
 Fwd Header Length.1,0.0
 Avg Bwd Segment Size,0.0
 Avg Fwd Segment Size,0.0
 Subflow Bwd Bytes,0.0
 Subflow Fwd Bytes,0.0
 Subflow Bwd Packets,0.0
 Active Max,0.0
 Idle Max,0.0
 Idle Std,0.0
