feature,importance
 Average Packet Size,0.62056303
 Source Port,0.19228034
 Inbound,0.043456156
 Fwd Packet Length Max,0.036531866
 Total Fwd Packets,0.024876518
 Flow Duration,0.010904338
 min_seg_size_forward,0.010882302
Flow Bytes/s,0.009682205
 Flow IAT Min,0.009628311
 Max Packet Length,0.009484531
 Fwd Header Length,0.009040394
 Flow Packets/s,0.0048859827
 Min Packet Length,0.003405096
 Fwd Packet Length Min,0.0032484634
 Fwd IAT Min,0.0030779291
Total Length of Fwd Packets,0.0017519438
Fwd Packets/s,0.001594901
 Fwd Packet Length Mean,0.0012175844
 Packet Length Mean,0.0010507425
 Destination Port,0.0010487112
 Flow IAT Max,0.0007699236
 Flow IAT Mean,0.0006186961
 Protocol,0.0
 Total Backward Packets,0.0
 Total Length of Bwd Packets,0.0
 Bwd Packet Length Std,0.0
 Bwd Packet Length Mean,0.0
 Bwd Packet Length Min,0.0
Bwd Packet Length Max,0.0
 Fwd Packet Length Std,0.0
 Fwd IAT Std,0.0
Bwd IAT Total,0.0
 Fwd IAT Max,0.0
Fwd PSH Flags,0.0
 Bwd IAT Min,0.0
 Bwd IAT Max,0.0
 Bwd IAT Std,0.0
 Bwd IAT Mean,0.0
 Fwd URG Flags,0.0
 Bwd URG Flags,0.0
 Bwd PSH Flags,0.0
 Bwd Packets/s,0.0
 Bwd Header Length,0.0
 Packet Length Std,0.0
 Packet Length Variance,0.0
FIN Flag Count,0.0
 Flow IAT Std,0.0
 Fwd IAT Mean,0.0
Fwd IAT Total,0.0
 PSH Flag Count,0.0
 RST Flag Count,0.0
 SYN Flag Count,0.0
 ACK Flag Count,0.0
 ECE Flag Count,0.0
 Down/Up Ratio,0.0
 CWE Flag Count,0.0
 URG Flag Count,0.0
 Fwd Header Length.1,0.0
Fwd Avg Bytes/Bulk,0.0
 Fwd Avg Packets/Bulk,0.0
 Fwd Avg Bulk Rate,0.0
 Bwd Avg Bytes/Bulk,0.0
 Bwd Avg Packets/Bulk,0.0
 Avg Fwd Segment Size,0.0
 Avg Bwd Segment Size,0.0
Subflow Fwd Packets,0.0
Bwd Avg Bulk Rate,0.0
 Subflow Bwd Bytes,0.0
 Subflow Fwd Bytes,0.0
Init_Win_bytes_forward,0.0
 Init_Win_bytes_backward,0.0
 act_data_pkt_fwd,0.0
 Subflow Bwd Packets,0.0
Active Mean,0.0
 Active Std,0.0
 Active Min,0.0
 Active Max,0.0
Idle Mean,0.0
 Idle Std,0.0
 Idle Max,0.0
 Idle Min,0.0
