feature,importance
 Fwd Packet Length Mean,0.43075097
 Max Packet Length,0.29008216
 Packet Length Mean,0.1308951
 Average Packet Size,0.12092575
 Min Packet Length,0.015083106
Total Length of Fwd Packets,0.007441708
 Inbound,0.0011543778
 Fwd Header Length,0.0007703088
 Source Port,0.0006307766
 Fwd Packet Length Min,0.000564455
 Fwd Packet Length Max,0.00036820685
 Flow IAT Mean,0.0003268499
Flow Bytes/s,0.0002440977
 Flow Duration,0.00020999488
 min_seg_size_forward,0.00018922049
 Fwd IAT Min,0.00012800176
 Destination Port,0.00010995364
Fwd Packets/s,5.4262873e-05
 Flow Packets/s,4.1116535e-05
 Flow IAT Min,2.9670582e-05
 Bwd Packet Length Std,0.0
 Fwd Packet Length Std,0.0
 Protocol,0.0
 Total Backward Packets,0.0
 Total Length of Bwd Packets,0.0
 Total Fwd Packets,0.0
 Bwd Packet Length Mean,0.0
 Bwd Packet Length Min,0.0
Bwd Packet Length Max,0.0
 Flow IAT Max,0.0
 Fwd IAT Std,0.0
Bwd IAT Total,0.0
 Fwd IAT Max,0.0
Fwd PSH Flags,0.0
 Bwd IAT Min,0.0
 Bwd IAT Max,0.0
 Bwd IAT Std,0.0
 Bwd IAT Mean,0.0
 Fwd URG Flags,0.0
 Bwd URG Flags,0.0
 Bwd PSH Flags,0.0
 Bwd Packets/s,0.0
 Bwd Header Length,0.0
 Packet Length Std,0.0
 Packet Length Variance,0.0
FIN Flag Count,0.0
Fwd IAT Total,0.0
 Fwd IAT Mean,0.0
 Flow IAT Std,0.0
 PSH Flag Count,0.0
 RST Flag Count,0.0
 SYN Flag Count,0.0
 ACK Flag Count,0.0
 ECE Flag Count,0.0
 Down/Up Ratio,0.0
 CWE Flag Count,0.0
 URG Flag Count,0.0
 Fwd Header Length.1,0.0
Fwd Avg Bytes/Bulk,0.0
 Fwd Avg Packets/Bulk,0.0
 Fwd Avg Bulk Rate,0.0
 Bwd Avg Bytes/Bulk,0.0
 Bwd Avg Packets/Bulk,0.0
 Avg Fwd Segment Size,0.0
 Avg Bwd Segment Size,0.0
Subflow Fwd Packets,0.0
Bwd Avg Bulk Rate,0.0
 Subflow Bwd Bytes,0.0
 Subflow Fwd Bytes,0.0
Init_Win_bytes_forward,0.0
 Init_Win_bytes_backward,0.0
 act_data_pkt_fwd,0.0
 Subflow Bwd Packets,0.0
Active Mean,0.0
 Active Std,0.0
 Active Min,0.0
 Active Max,0.0
Idle Mean,0.0
 Idle Std,0.0
 Idle Max,0.0
 Idle Min,0.0
