feature,importance
 min_seg_size_forward,0.75449306
 Source Port,0.040881112
 Packet Length Mean,0.035963282
 Flow IAT Min,0.0193053
 Min Packet Length,0.018453695
 Fwd IAT Min,0.017005142
 Fwd Packet Length Max,0.014453762
Total Length of Fwd Packets,0.008492564
 Fwd Header Length,0.008453838
 Average Packet Size,0.007836862
 Max Packet Length,0.0068266196
 Fwd Packet Length Std,0.006212828
 Fwd Packet Length Mean,0.0061903577
 Fwd Packet Length Min,0.0052255406
Fwd IAT Total,0.0052238395
Flow Bytes/s,0.0046498207
 Destination Port,0.0038171813
 Flow IAT Mean,0.003583482
 Fwd IAT Std,0.0035358863
 Packet Length Std,0.0034416066
 Total Fwd Packets,0.0033603092
 Fwd IAT Mean,0.0033220144
 Flow IAT Max,0.0032534676
 Fwd IAT Max,0.0031103333
 Flow Packets/s,0.0028553098
 Flow IAT Std,0.0027796978
 Flow Duration,0.002678185
 act_data_pkt_fwd,0.0024101376
Fwd Packets/s,0.0021847652
 Total Backward Packets,0.0
 Protocol,0.0
 Total Length of Bwd Packets,0.0
Bwd Packet Length Max,0.0
 Bwd Packet Length Std,0.0
 Bwd Packet Length Mean,0.0
 Bwd Packet Length Min,0.0
Fwd PSH Flags,0.0
 Bwd IAT Mean,0.0
 Bwd IAT Min,0.0
 Bwd IAT Max,0.0
 Bwd IAT Std,0.0
 Bwd Packets/s,0.0
 Bwd Header Length,0.0
 Fwd URG Flags,0.0
 Packet Length Variance,0.0
FIN Flag Count,0.0
Bwd IAT Total,0.0
 Bwd URG Flags,0.0
 Bwd PSH Flags,0.0
 PSH Flag Count,0.0
 RST Flag Count,0.0
 SYN Flag Count,0.0
 ACK Flag Count,0.0
 ECE Flag Count,0.0
 Down/Up Ratio,0.0
 CWE Flag Count,0.0
 URG Flag Count,0.0
 Fwd Header Length.1,0.0
Fwd Avg Bytes/Bulk,0.0
 Fwd Avg Packets/Bulk,0.0
 Fwd Avg Bulk Rate,0.0
 Bwd Avg Bytes/Bulk,0.0
 Bwd Avg Packets/Bulk,0.0
 Avg Fwd Segment Size,0.0
 Avg Bwd Segment Size,0.0
Subflow Fwd Packets,0.0
Bwd Avg Bulk Rate,0.0
 Subflow Fwd Bytes,0.0
 Subflow Bwd Packets,0.0
Init_Win_bytes_forward,0.0
 Subflow Bwd Bytes,0.0
 Init_Win_bytes_backward,0.0
Active Mean,0.0
 Active Std,0.0
 Active Max,0.0
 Active Min,0.0
Idle Mean,0.0
 Idle Std,0.0
 Idle Max,0.0
 Idle Min,0.0
 Inbound,0.0
