feature,importance
 min_seg_size_forward,0.28142247
 Packet Length Mean,0.221929
 Min Packet Length,0.0980526
 Fwd Packet Length Min,0.08796957
 Fwd Header Length,0.06494252
 Average Packet Size,0.064118676
 Source Port,0.059090894
 Flow IAT Min,0.02861866
Total Length of Fwd Packets,0.015799822
 Fwd Packet Length Max,0.015690906
Flow Bytes/s,0.0052730627
 Max Packet Length,0.0048379246
 Fwd Packet Length Mean,0.0048241927
 Flow Packets/s,0.0040464173
 Fwd Packet Length Std,0.003423763
 Fwd IAT Mean,0.0033800772
 Destination Port,0.0032978232
 Flow IAT Max,0.0031246548
 Flow Duration,0.0030346548
Fwd IAT Total,0.0030234964
 Fwd IAT Std,0.0028376614
 Flow IAT Mean,0.0026855958
 Fwd IAT Min,0.0026082168
 Fwd IAT Max,0.0024583468
Fwd Packets/s,0.0023427375
 Flow IAT Std,0.002229395
 Packet Length Std,0.0016528289
 Bwd IAT Min,0.0015282456
 Down/Up Ratio,0.0011805294
 ACK Flag Count,0.00093326485
 act_data_pkt_fwd,0.0007501821
 Inbound,0.0006822871
 Init_Win_bytes_backward,0.00068204454
 Total Fwd Packets,0.000642131
 Bwd Header Length,0.00047430565
 Bwd Packets/s,0.00041112618
 Bwd Packet Length Min,0.0
 Total Backward Packets,0.0
 Protocol,0.0
 Total Length of Bwd Packets,0.0
Bwd Packet Length Max,0.0
 Bwd Packet Length Std,0.0
 Bwd Packet Length Mean,0.0
 Fwd URG Flags,0.0
Fwd PSH Flags,0.0
Bwd IAT Total,0.0
 Bwd IAT Max,0.0
 Bwd IAT Std,0.0
 Bwd IAT Mean,0.0
 PSH Flag Count,0.0
 RST Flag Count,0.0
 SYN Flag Count,0.0
FIN Flag Count,0.0
 Packet Length Variance,0.0
 Bwd URG Flags,0.0
 Bwd PSH Flags,0.0
 URG Flag Count,0.0
 Fwd Header Length.1,0.0
Fwd Avg Bytes/Bulk,0.0
 Fwd Avg Packets/Bulk,0.0
 Fwd Avg Bulk Rate,0.0
 ECE Flag Count,0.0
 CWE Flag Count,0.0
 Avg Fwd Segment Size,0.0
 Avg Bwd Segment Size,0.0
Subflow Fwd Packets,0.0
Bwd Avg Bulk Rate,0.0
 Bwd Avg Packets/Bulk,0.0
 Bwd Avg Bytes/Bulk,0.0
Init_Win_bytes_forward,0.0
 Subflow Bwd Bytes,0.0
 Subflow Bwd Packets,0.0
 Subflow Fwd Bytes,0.0
Active Mean,0.0
 Active Std,0.0
 Active Min,0.0
 Active Max,0.0
Idle Mean,0.0
 Idle Std,0.0
 Idle Max,0.0
 Idle Min,0.0
